order_details_id;order_id;pizza_id;order_date;order_time;unit_price;total_price;pizza_size;pizza_category;pizza_ingredients;pizza_name;lead_time
27;11;cali_ckn_l;2015-01-01 00:00:00;13:02:59;20,75;20,75;L;Chicken;Chicken, Artichoke, Spinach, Garlic, Jalapeno Peppers, Fontina Cheese, Gouda Cheese;The California Chicken Pizza;2015-01-01 13:19:18
28;11;cali_ckn_m;2015-01-01 00:00:00;13:02:59;16,75;16,75;M;Chicken;Chicken, Artichoke, Spinach, Garlic, Jalapeno Peppers, Fontina Cheese, Gouda Cheese;The California Chicken Pizza;2015-01-01 13:16:30
29;11;pepperoni_l;2015-01-01 00:00:00;13:02:59;15,25;15,25;L;Classic;Mozzarella Cheese, Pepperoni;The Pepperoni Pizza;2015-01-01 13:19:15
30;12;cali_ckn_l;2015-01-01 00:00:00;13:04:41;20,75;20,75;L;Chicken;Chicken, Artichoke, Spinach, Garlic, Jalapeno Peppers, Fontina Cheese, Gouda Cheese;The California Chicken Pizza;2015-01-01 13:20:21
31;12;cali_ckn_s;2015-01-01 00:00:00;13:04:41;12,75;12,75;S;Chicken;Chicken, Artichoke, Spinach, Garlic, Jalapeno Peppers, Fontina Cheese, Gouda Cheese;The California Chicken Pizza;2015-01-01 13:19:07
32;12;ckn_pesto_l;2015-01-01 00:00:00;13:04:41;20,75;20,75;L;Chicken;Chicken, Tomatoes, Red Peppers, Spinach, Garlic, Pesto Sauce;The Chicken Pesto Pizza;2015-01-01 13:25:07
33;12;ital_supr_m;2015-01-01 00:00:00;13:04:41;16,5;16,5;M;Supreme;Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic;The Italian Supreme Pizza;2015-01-01 13:20:03
34;13;mexicana_l;2015-01-01 00:00:00;13:11:55;20,25;20,25;L;Veggie;Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic;The Mexicana Pizza;2015-01-01 13:30:32
35;14;the_greek_s;2015-01-01 00:00:00;13:14:19;12;12;S;Classic;Kalamata Olives, Feta Cheese, Tomatoes, Garlic, Beef Chuck Roast, Red Onions;The Greek Pizza;2015-01-01 13:31:28
36;15;big_meat_s;2015-01-01 00:00:00;13:33:00;12;12;S;Classic;Bacon, Pepperoni, Italian Sausage, Chorizo Sausage;The Big Meat Pizza;2015-01-01 13:47:46
37;15;five_cheese_l;2015-01-01 00:00:00;13:33:00;18,5;18,5;L;Veggie;Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese, Garlic;The Five Cheese Pizza;2015-01-01 13:54:50
38;15;soppressata_l;2015-01-01 00:00:00;13:33:00;20,75;20,75;L;Supreme;Soppressata Salami, Fontina Cheese, Mozzarella Cheese, Mushrooms, Garlic;The Soppressata Pizza;2015-01-01 13:48:23
39;15;the_greek_s;2015-01-01 00:00:00;13:33:00;12;12;S;Classic;Kalamata Olives, Feta Cheese, Tomatoes, Garlic, Beef Chuck Roast, Red Onions;The Greek Pizza;2015-01-01 13:52:28
40;16;four_cheese_l;2015-01-01 00:00:00;13:34:07;17,95;17,95;L;Veggie;Ricotta Cheese, Gorgonzola Piccante Cheese, Mozzarella Cheese, Parmigiano Reggiano Cheese, Garlic;The Four Cheese Pizza;2015-01-01 13:52:56
41;16;napolitana_s;2015-01-01 00:00:00;13:34:07;12;12;S;Classic;Tomatoes, Anchovies, Green Olives, Red Onions, Garlic;The Napolitana Pizza;2015-01-01 13:51:52
42;16;thai_ckn_l;2015-01-01 00:00:00;13:34:07;20,75;20,75;L;Chicken;Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce;The Thai Chicken Pizza;2015-01-01 13:50:40
43;17;bbq_ckn_l;2015-01-01 00:00:00;13:53:00;20,75;20,75;L;Chicken;Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce;The Barbecue Chicken Pizza;2015-01-01 14:11:05
44;17;calabrese_m;2015-01-01 00:00:00;13:53:00;16,25;16,25;M;Supreme;慛duja Salami, Pancetta, Tomatoes, Red Onions, Friggitello Peppers, Garlic;The Calabrese Pizza;2015-01-01 14:09:24
45;17;five_cheese_l;2015-01-01 00:00:00;13:53:00;18,5;18,5;L;Veggie;Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese, Garlic;The Five Cheese Pizza;2015-01-01 14:08:45
46;17;four_cheese_m;2015-01-01 00:00:00;13:53:00;14,75;14,75;M;Veggie;Ricotta Cheese, Gorgonzola Piccante Cheese, Mozzarella Cheese, Parmigiano Reggiano Cheese, Garlic;The Four Cheese Pizza;2015-01-01 14:01:40
47;17;ital_supr_m;2015-01-01 00:00:00;13:53:00;16,5;16,5;M;Supreme;Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic;The Italian Supreme Pizza;2015-01-01 14:07:22
48;17;ital_veggie_s;2015-01-01 00:00:00;13:53:00;12,75;12,75;S;Veggie;Eggplant, Artichokes, Tomatoes, Zucchini, Red Peppers, Garlic, Pesto Sauce;The Italian Vegetables Pizza;2015-01-01 14:06:08
49;17;mediterraneo_m;2015-01-01 00:00:00;13:53:00;16;32;M;Veggie;Spinach, Artichokes, Kalamata Olives, Sun-dried Tomatoes, Feta Cheese, Plum Tomatoes, Red Onions;The Mediterranean Pizza;2015-01-01 14:08:09
50;17;mexicana_l;2015-01-01 00:00:00;13:53:00;20,25;20,25;L;Veggie;Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic;The Mexicana Pizza;2015-01-01 14:11:15
51;17;peppr_salami_s;2015-01-01 00:00:00;13:53:00;12,5;12,5;S;Supreme;Genoa Salami, Capocollo, Pepperoni, Tomatoes, Asiago Cheese, Garlic;The Pepper Salami Pizza;2015-01-01 14:11:28
52;17;spinach_fet_l;2015-01-01 00:00:00;13:53:00;20,25;20,25;L;Veggie;Spinach, Mushrooms, Red Onions, Feta Cheese, Garlic;The Spinach and Feta Pizza;2015-01-01 14:04:08
53;18;napolitana_l;2015-01-01 00:00:00;13:57:08;20,5;20,5;L;Classic;Tomatoes, Anchovies, Green Olives, Red Onions, Garlic;The Napolitana Pizza;2015-01-01 14:16:00
54;19;ital_cpcllo_l;2015-01-01 00:00:00;13:59:09;20,5;20,5;L;Classic;Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic, Oregano;The Italian Capocollo Pizza;2015-01-01 14:16:46
55;19;sicilian_l;2015-01-01 00:00:00;13:59:09;20,25;20,25;L;Supreme;Coarse Sicilian Salami, Tomatoes, Green Olives, Luganega Sausage, Onions, Garlic;The Sicilian Pizza;2015-01-01 14:17:25
56;20;big_meat_s;2015-01-01 00:00:00;14:03:08;12;12;S;Classic;Bacon, Pepperoni, Italian Sausage, Chorizo Sausage;The Big Meat Pizza;2015-01-01 14:21:27
57;20;five_cheese_l;2015-01-01 00:00:00;14:03:08;18,5;18,5;L;Veggie;Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese, Garlic;The Five Cheese Pizza;2015-01-01 14:21:54
58;21;ital_cpcllo_l;2015-01-01 00:00:00;14:14:29;20,5;20,5;L;Classic;Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic, Oregano;The Italian Capocollo Pizza;2015-01-01 14:32:54
59;22;five_cheese_l;2015-01-01 00:00:00;14:16:26;18,5;18,5;L;Veggie;Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese, Garlic;The Five Cheese Pizza;2015-01-01 14:33:20
60;22;ital_cpcllo_m;2015-01-01 00:00:00;14:16:26;16;16;M;Classic;Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic, Oregano;The Italian Capocollo Pizza;2015-01-01 14:33:30
61;22;southw_ckn_l;2015-01-01 00:00:00;14:16:26;20,75;20,75;L;Chicken;Chicken, Tomatoes, Red Peppers, Red Onions, Jalapeno Peppers, Corn, Cilantro, Chipotle Sauce;The Southwest Chicken Pizza;2015-01-01 14:30:34
62;23;southw_ckn_s;2015-01-01 00:00:00;14:19:03;12,75;12,75;S;Chicken;Chicken, Tomatoes, Red Peppers, Red Onions, Jalapeno Peppers, Corn, Cilantro, Chipotle Sauce;The Southwest Chicken Pizza;2015-01-01 14:39:37
63;24;bbq_ckn_m;2015-01-01 00:00:00;14:23:01;16,75;16,75;M;Chicken;Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce;The Barbecue Chicken Pizza;2015-01-01 14:37:57
64;24;ital_cpcllo_m;2015-01-01 00:00:00;14:23:01;16;16;M;Classic;Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic, Oregano;The Italian Capocollo Pizza;2015-01-01 14:42:02
65;24;pepperoni_m;2015-01-01 00:00:00;14:23:01;12,5;12,5;M;Classic;Mozzarella Cheese, Pepperoni;The Pepperoni Pizza;2015-01-01 14:32:19
66;24;prsc_argla_s;2015-01-01 00:00:00;14:23:01;12,5;12,5;S;Supreme;Prosciutto di San Daniele, Arugula, Mozzarella Cheese;The Prosciutto and Arugula Pizza;2015-01-01 14:38:28
67;25;sicilian_m;2015-01-01 00:00:00;14:44:44;16,25;16,25;M;Supreme;Coarse Sicilian Salami, Tomatoes, Green Olives, Luganega Sausage, Onions, Garlic;The Sicilian Pizza;2015-01-01 15:05:42
68;25;thai_ckn_l;2015-01-01 00:00:00;14:44:44;20,75;20,75;L;Chicken;Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce;The Thai Chicken Pizza;2015-01-01 15:04:14
69;26;classic_dlx_s;2015-01-01 00:00:00;14:54:26;12;12;S;Classic;Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon;The Classic Deluxe Pizza;2015-01-01 15:10:37
70;26;veggie_veg_l;2015-01-01 00:00:00;14:54:26;20,25;20,25;L;Veggie;Mushrooms, Tomatoes, Red Peppers, Green Peppers, Red Onions, Zucchini, Spinach, Garlic;The Vegetables + Vegetables Pizza;2015-01-01 15:12:19
71;27;bbq_ckn_l;2015-01-01 00:00:00;15:11:17;20,75;20,75;L;Chicken;Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce;The Barbecue Chicken Pizza;2015-01-01 15:29:32
72;27;classic_dlx_m;2015-01-01 00:00:00;15:11:17;16;16;M;Classic;Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon;The Classic Deluxe Pizza;2015-01-01 15:24:27
73;27;spinach_fet_l;2015-01-01 00:00:00;15:11:17;20,25;20,25;L;Veggie;Spinach, Mushrooms, Red Onions, Feta Cheese, Garlic;The Spinach and Feta Pizza;2015-01-01 15:28:53
74;28;ckn_alfredo_s;2015-01-01 00:00:00;15:35:46;12,75;12,75;S;Chicken;Chicken, Red Onions, Red Peppers, Mushrooms, Asiago Cheese, Alfredo Sauce;The Chicken Alfredo Pizza;2015-01-01 15:55:06
75;29;green_garden_s;2015-01-01 00:00:00;15:41:01;12;12;S;Veggie;Spinach, Mushrooms, Tomatoes, Green Olives, Feta Cheese;The Green Garden Pizza;2015-01-01 15:57:28
76;30;thai_ckn_l;2015-01-01 00:00:00;15:41:25;20,75;20,75;L;Chicken;Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce;The Thai Chicken Pizza;2015-01-01 15:59:27
77;31;mexicana_m;2015-01-01 00:00:00;15:50:18;16;16;M;Veggie;Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic;The Mexicana Pizza;2015-01-01 16:11:16
78;31;pepperoni_s;2015-01-01 00:00:00;15:50:18;9,75;9,75;S;Classic;Mozzarella Cheese, Pepperoni;The Pepperoni Pizza;2015-01-01 16:08:37
79;32;big_meat_s;2015-01-01 00:00:00;15:53:18;12;12;S;Classic;Bacon, Pepperoni, Italian Sausage, Chorizo Sausage;The Big Meat Pizza;2015-01-01 16:11:52
80;32;green_garden_l;2015-01-01 00:00:00;15:53:18;20,25;20,25;L;Veggie;Spinach, Mushrooms, Tomatoes, Green Olives, Feta Cheese;The Green Garden Pizza;2015-01-01 16:09:26
81;32;ital_cpcllo_l;2015-01-01 00:00:00;15:53:18;20,5;20,5;L;Classic;Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic, Oregano;The Italian Capocollo Pizza;2015-01-01 16:10:30
82;32;ital_supr_m;2015-01-01 00:00:00;15:53:18;16,5;16,5;M;Supreme;Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic;The Italian Supreme Pizza;2015-01-01 16:13:30
83;33;bbq_ckn_l;2015-01-01 00:00:00;15:54:08;20,75;20,75;L;Chicken;Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce;The Barbecue Chicken Pizza;2015-01-01 16:10:33
84;33;green_garden_s;2015-01-01 00:00:00;15:54:08;12;12;S;Veggie;Spinach, Mushrooms, Tomatoes, Green Olives, Feta Cheese;The Green Garden Pizza;2015-01-01 16:10:23
85;34;the_greek_s;2015-01-01 00:00:00;16:21:21;12;12;S;Classic;Kalamata Olives, Feta Cheese, Tomatoes, Garlic, Beef Chuck Roast, Red Onions;The Greek Pizza;2015-01-01 16:39:57
86;35;green_garden_m;2015-01-01 00:00:00;16:32:04;16;16;M;Veggie;Spinach, Mushrooms, Tomatoes, Green Olives, Feta Cheese;The Green Garden Pizza;2015-01-01 16:47:14
87;35;pep_msh_pep_l;2015-01-01 00:00:00;16:32:04;17,5;17,5;L;Classic;Pepperoni, Mushrooms, Green Peppers;The Pepperoni, Mushroom, and Peppers Pizza;2015-01-01 16:49:28
88;35;pepperoni_m;2015-01-01 00:00:00;16:32:04;12,5;12,5;M;Classic;Mozzarella Cheese, Pepperoni;The Pepperoni Pizza;2015-01-01 16:51:45
89;35;thai_ckn_l;2015-01-01 00:00:00;16:32:04;20,75;20,75;L;Chicken;Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce;The Thai Chicken Pizza;2015-01-01 16:48:46
90;36;bbq_ckn_m;2015-01-01 00:00:00;16:54:09;16,75;16,75;M;Chicken;Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce;The Barbecue Chicken Pizza;2015-01-01 17:08:48
91;36;classic_dlx_m;2015-01-01 00:00:00;16:54:09;16;16;M;Classic;Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon;The Classic Deluxe Pizza;2015-01-01 17:15:21
92;37;ital_supr_l;2015-01-01 00:00:00;16:56:09;20,75;20,75;L;Supreme;Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic;The Italian Supreme Pizza;2015-01-01 17:08:59
93;37;mexicana_l;2015-01-01 00:00:00;16:56:09;20,25;20,25;L;Veggie;Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic;The Mexicana Pizza;2015-01-01 17:09:41
94;38;hawaiian_s;2015-01-01 00:00:00;17:03:00;10,5;10,5;S;Classic;Sliced Ham, Pineapple, Mozzarella Cheese;The Hawaiian Pizza;2015-01-01 17:14:51
95;38;ital_cpcllo_l;2015-01-01 00:00:00;17:03:00;20,5;20,5;L;Classic;Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic, Oregano;The Italian Capocollo Pizza;2015-01-01 17:17:11
96;39;ital_supr_l;2015-01-01 00:00:00;17:07:23;20,75;20,75;L;Supreme;Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic;The Italian Supreme Pizza;2015-01-01 17:25:55
97;40;four_cheese_l;2015-01-01 00:00:00;17:14:36;17,95;17,95;L;Veggie;Ricotta Cheese, Gorgonzola Piccante Cheese, Mozzarella Cheese, Parmigiano Reggiano Cheese, Garlic;The Four Cheese Pizza;2015-01-01 17:31:29
98;40;southw_ckn_s;2015-01-01 00:00:00;17:14:36;12,75;12,75;S;Chicken;Chicken, Tomatoes, Red Peppers, Red Onions, Jalapeno Peppers, Corn, Cilantro, Chipotle Sauce;The Southwest Chicken Pizza;2015-01-01 17:35:24
99;41;four_cheese_m;2015-01-01 00:00:00;17:15:20;14,75;14,75;M;Veggie;Ricotta Cheese, Gorgonzola Piccante Cheese, Mozzarella Cheese, Parmigiano Reggiano Cheese, Garlic;The Four Cheese Pizza;2015-01-01 17:30:05
100;41;green_garden_s;2015-01-01 00:00:00;17:15:20;12;12;S;Veggie;Spinach, Mushrooms, Tomatoes, Green Olives, Feta Cheese;The Green Garden Pizza;2015-01-01 17:37:17
101;42;big_meat_s;2015-01-01 00:00:00;17:28:09;12;12;S;Classic;Bacon, Pepperoni, Italian Sausage, Chorizo Sausage;The Big Meat Pizza;2015-01-01 17:46:35
102;42;five_cheese_l;2015-01-01 00:00:00;17:28:09;18,5;18,5;L;Veggie;Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese, Garlic;The Five Cheese Pizza;2015-01-01 17:46:47
103;42;mexicana_l;2015-01-01 00:00:00;17:28:09;20,25;20,25;L;Veggie;Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic;The Mexicana Pizza;2015-01-01 17:44:45
104;42;peppr_salami_m;2015-01-01 00:00:00;17:28:09;16,5;16,5;M;Supreme;Genoa Salami, Capocollo, Pepperoni, Tomatoes, Asiago Cheese, Garlic;The Pepper Salami Pizza;2015-01-01 17:43:50
105;43;ckn_alfredo_m;2015-01-01 00:00:00;17:38:34;16,75;16,75;M;Chicken;Chicken, Red Onions, Red Peppers, Mushrooms, Asiago Cheese, Alfredo Sauce;The Chicken Alfredo Pizza;2015-01-01 17:55:34
106;43;ital_supr_m;2015-01-01 00:00:00;17:38:34;16,5;16,5;M;Supreme;Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic;The Italian Supreme Pizza;2015-01-01 17:55:07
107;43;peppr_salami_l;2015-01-01 00:00:00;17:38:34;20,75;20,75;L;Supreme;Genoa Salami, Capocollo, Pepperoni, Tomatoes, Asiago Cheese, Garlic;The Pepper Salami Pizza;2015-01-01 17:54:03
108;44;spin_pesto_s;2015-01-01 00:00:00;17:54:20;12,5;12,5;S;Veggie;Spinach, Artichokes, Tomatoes, Sun-dried Tomatoes, Garlic, Pesto Sauce;The Spinach Pesto Pizza;2015-01-01 18:07:52
109;45;four_cheese_l;2015-01-01 00:00:00;17:55:48;17,95;17,95;L;Veggie;Ricotta Cheese, Gorgonzola Piccante Cheese, Mozzarella Cheese, Parmigiano Reggiano Cheese, Garlic;The Four Cheese Pizza;2015-01-01 18:08:01
110;45;hawaiian_s;2015-01-01 00:00:00;17:55:48;10,5;10,5;S;Classic;Sliced Ham, Pineapple, Mozzarella Cheese;The Hawaiian Pizza;2015-01-01 18:15:25
111;45;thai_ckn_m;2015-01-01 00:00:00;17:55:48;16,75;16,75;M;Chicken;Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce;The Thai Chicken Pizza;2015-01-01 18:17:19
112;46;ckn_pesto_l;2015-01-01 00:00:00;18:25:51;20,75;20,75;L;Chicken;Chicken, Tomatoes, Red Peppers, Spinach, Garlic, Pesto Sauce;The Chicken Pesto Pizza;2015-01-01 18:47:29
113;46;classic_dlx_l;2015-01-01 00:00:00;18:25:51;20,5;20,5;L;Classic;Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon;The Classic Deluxe Pizza;2015-01-01 18:39:39
114;46;thai_ckn_m;2015-01-01 00:00:00;18:25:51;16,75;16,75;M;Chicken;Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce;The Thai Chicken Pizza;2015-01-01 18:46:39
115;47;southw_ckn_l;2015-01-01 00:00:00;18:26:34;20,75;20,75;L;Chicken;Chicken, Tomatoes, Red Peppers, Red Onions, Jalapeno Peppers, Corn, Cilantro, Chipotle Sauce;The Southwest Chicken Pizza;2015-01-01 18:39:02
116;47;veggie_veg_s;2015-01-01 00:00:00;18:26:34;12;12;S;Veggie;Mushrooms, Tomatoes, Red Peppers, Green Peppers, Red Onions, Zucchini, Spinach, Garlic;The Vegetables + Vegetables Pizza;2015-01-01 18:43:54
117;48;ckn_pesto_m;2015-01-01 00:00:00;18:26:42;16,75;16,75;M;Chicken;Chicken, Tomatoes, Red Peppers, Spinach, Garlic, Pesto Sauce;The Chicken Pesto Pizza;2015-01-01 18:46:31
118;48;green_garden_s;2015-01-01 00:00:00;18:26:42;12;12;S;Veggie;Spinach, Mushrooms, Tomatoes, Green Olives, Feta Cheese;The Green Garden Pizza;2015-01-01 18:40:17
119;48;prsc_argla_l;2015-01-01 00:00:00;18:26:42;20,75;20,75;L;Supreme;Prosciutto di San Daniele, Arugula, Mozzarella Cheese;The Prosciutto and Arugula Pizza;2015-01-01 18:39:07
120;48;spicy_ital_l;2015-01-01 00:00:00;18:26:42;20,75;20,75;L;Supreme;Capocollo, Tomatoes, Goat Cheese, Artichokes, Peperoncini verdi, Garlic;The Spicy Italian Pizza;2015-01-01 18:42:05
121;49;sicilian_l;2015-01-01 00:00:00;18:33:00;20,25;20,25;L;Supreme;Coarse Sicilian Salami, Tomatoes, Green Olives, Luganega Sausage, Onions, Garlic;The Sicilian Pizza;2015-01-01 18:49:27
122;50;the_greek_xl;2015-01-01 00:00:00;18:41:01;25,5;25,5;XL;Classic;Kalamata Olives, Feta Cheese, Tomatoes, Garlic, Beef Chuck Roast, Red Onions;The Greek Pizza;2015-01-01 18:55:56
